species,genus,subfamily,family,suborder,order
Pteris_pseudosefuricola,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_stenophylla,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_deltodon,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hui,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_liboensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_xiaoyingiae,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_irregularis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hillebrandii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_morii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pseudopellucida,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_multiaurita,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_esquirolii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_cretica,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_subesquirolii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_guangdongensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_rugosifolia,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_nanlingensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_multifida,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_ryukyuensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_umbrosa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_parkeri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_burtonii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_commutata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_geminata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_atrovirens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_mildbraedii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_similis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_usambarensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_elongatiloba,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_laurea,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_griseoviridis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_ciliaris,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_scabra,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_mutilata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pungens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dentata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_incompleta,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_mkomaziensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_altissima,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_chiapensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_speciosa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
