species,genus,subfamily,family,suborder,order
Dryopteris_subbipinnata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_wallichiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_lepidopoda,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_xanthomelas,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_himachalensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_acutodentata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_goeringiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_dickinsii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_polylepis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_ebinoensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_liangkwangensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_redactopinnata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_filix-mas,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_affinis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_caucasica,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pseudofilix-mas,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_ardechensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tyrrhena,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_borreri,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_oreades,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_cambrensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_coreanomontana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_subarborea,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_villarii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_komarovii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sieboldii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_bodinieri,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_peninsulae,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_juxtaposita,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sublacera,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_costalisora,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_panda,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_reflexosquamata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_lacera,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_stewartii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_macrolepidota,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_macropholis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_lachoongensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_basisora,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_rubrobrunnea,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_alpestris,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_barbigera,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_chrysocoma,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_athamantica,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_dracomontana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_subcrenulata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pentheri,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_cochleata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_marginata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_comorensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_bernieri,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_bojeri,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_cognata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_fadenii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tricellularis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_glandulosopaleata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_schimperiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_katangaensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_napoleonis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_lewalleana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_occidentalis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_inaequalis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_manniana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_marginalis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_blanfordii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_ramosa,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_crassirhizoma,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_arguta,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_shiroumensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_crinalis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sandwicensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tetrapinnata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_unidentata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_mauiensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_cinnamomea,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_knoblochii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_rossii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_patula,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_flaccisquama,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_huberi,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_salvinii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_schnellii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_saffordii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sororia,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_futura,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_nubigena,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_maxonii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_karwinskyana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_paleolata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_nodosa,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_zayuensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_raiateensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_wuzhaohongii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pseudocaenopteris,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_annamensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_christensenae,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_peranema,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_manipurensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_squamiseta,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_hendersonii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_shikokiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_maximowicziana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_rubiginosa,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_hypolepioides,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_aemula,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_glabra,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_hawaiiensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_guanchica,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_corleyi,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_wattsii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_dicksonioides,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_ludens,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_maxima,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_decipiens,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_erythrosora,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tsugiwoi,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_caudipinna,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_kinokuniensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_koidzumiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tenuicula,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_podophylla,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_championii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_shibipedis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_simasakii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_lepidorachis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_tsoongii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_kinkiensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_fuscipes,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_anadroma,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_ryo-itoana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_indusiata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_subtriangularis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_labordei,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_gymnosora,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pseudosparsa,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_submarginata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_guangxiensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_integriloba,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_yenpingensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_liboensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_gemmifera,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_formosana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pacifica,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_pulvinulifera,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_yongdeensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_apiciflora,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_holttumii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_nidus,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_transmorrisonensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_kawakamii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_diffracta,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_polita,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_hasseltii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_subreflexipinna,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_huongii,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_jishouensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_wulingshanensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_chinensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_gymnophylla,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sacrosancta,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_saxifraga,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_saxifragivaria,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_clarkei,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_hadanoi,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_sordidipes,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_dehuaensis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_insularis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_varia,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_protobissetiana,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_setosa,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_cyclopeltidiformis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_adnata,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_heterolaena,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_triangularis,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Dryopteris_fragrans,Dryopteris,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_yamamotoi,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_omeiense,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_falcatum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_devexiscapulae,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_fortunei,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_hemionitis,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_nephrolepioides,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_pachyphyllum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_shingianum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_yunnanense,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_chingianum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_grossum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_macrophyllum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_atropunctatum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_laetevirens,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_caryotideum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_urophyllum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_aequibasis,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_anomophyllum,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_lonchitoides,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Cyrtomium_guizhouense,Cyrtomium,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Phanerophlebia_nobilis,Phanerophlebia,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Phanerophlebia_gastonyi,Phanerophlebia,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Phanerophlebia_remotispora,Phanerophlebia,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Phanerophlebia_umbonata,Phanerophlebia,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Phanerophlebia_juglandifolia,Phanerophlebia,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_acrostichoides,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_rigens,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_ovatopaleaceum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_ohmurae,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_retrosopaleaceum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_polyblepharum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_pseudomakinoi,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_shimurae,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_ammifolium,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_maevaranense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_yunnanense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_makinoi,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_piceopaleaceum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_discretum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_sinense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_bonseyi,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_haleakalense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_acutipinnulum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_otomasui,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_tagawanum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_fimbriatum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_setigerum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_cystostegia,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_fibrillosopaleaceum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_longifrons,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_igaense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_obai,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_parvipinnulum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_subfimbriatum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_holttumii,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_rapense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_kenwoodii,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_moluccense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_marquesense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_weimingii,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_lemmonii,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_scopulinum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_dudleyi,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_falcinellum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_aculeatum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_setiferum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_transkeiense,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_pungens,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_macleaii,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_dracomontanum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_californicum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_munitum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_imbricans,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_attenuatum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_lentum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_anomalum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_altum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_semifertile,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
Polystichum_biaristatum,Polystichum,Dryopteridoideae,Dryopteridaceae,Polypodiineae,Polypodiales
